address,lat,lng,location_type
2110 Aspen Rd,43.0300719,-89.472483,ROOFTOP
2113 Aspen Rd,43.029868,-89.471641,ROOFTOP
2213 Aspen Rd,43.028958,-89.471175,ROOFTOP
2217 Aspen Rd,43.028717,-89.471101,ROOFTOP
2302 Aspen Rd,43.028516,-89.471822,ROOFTOP
2305 Aspen Rd,43.02826,-89.471084,ROOFTOP
2306 Aspen Rd,43.028283,-89.471824,ROOFTOP
2309 Aspen Rd,43.028041,-89.471095,ROOFTOP
2314 Aspen Rd,43.02784,-89.4718539,ROOFTOP
2006 Cameron Dr,43.031372,-89.483613,ROOFTOP
2010 Cameron Dr,43.031121,-89.483608,ROOFTOP
1 Celia Ct,43.027285,-89.468541,ROOFTOP
5 Celia Ct,43.027313,-89.468202,ROOFTOP
9 Celia Ct,43.027268,-89.467756,ROOFTOP
10 Celia Ct,43.028061,-89.4677789,ROOFTOP
15 Celia Ct,43.027449,-89.467471,ROOFTOP
5105 Denton Pl,43.030492,-89.467478,ROOFTOP
5111 Denton Pl,43.030465,-89.467851,ROOFTOP
5118 Denton Pl,43.031056,-89.468214,ROOFTOP
5202 Denton Pl,43.0310569,-89.468605,ROOFTOP
5205 Denton Pl,43.0304969,-89.469067,ROOFTOP
5212 Denton Pl,43.031082,-89.469415,ROOFTOP
5306 Denton Pl,43.031069,-89.470564,ROOFTOP
5309 Denton Pl,43.030587,-89.4711279,ROOFTOP
5409 Denton Pl,43.030605,-89.473035,ROOFTOP
5502 Denton Pl,43.031087,-89.473729,ROOFTOP
5506 Denton Pl,43.031089,-89.474113,ROOFTOP
5509 Denton Pl,43.03056,-89.474339,ROOFTOP
5514 Denton Pl,43.031081,-89.474889,ROOFTOP
2114 Gilbert Rd,43.029902,-89.473892,ROOFTOP
2121 Gilbert Rd,43.0295879,-89.472955,ROOFTOP
2206 Gilbert Rd,43.028927,-89.473426,ROOFTOP
2210 Gilbert Rd,43.028701,-89.473303,ROOFTOP
2301 Gilbert Rd,43.028671,-89.472455,ROOFTOP
2302 Gilbert Rd,43.028489,-89.473185,ROOFTOP
2306 Gilbert Rd,43.028292,-89.47315,ROOFTOP
2310 Gilbert Rd,43.028101,-89.473118,ROOFTOP
2110 Harley Dr,43.0304689,-89.466979,ROOFTOP
2302 Harley Dr,43.028911,-89.466905,ROOFTOP
2326 Harley Dr,43.027705,-89.46697,ROOFTOP
